segment,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,modele,fenetre,policy_combo
peu_actif,0.013462519122896482,0.02531143002841116,0.021439212790159545,0.01295257521672616,0.04624545520771935,0.030535526807817414,0.01598160058402646,popularite_categorie,2,inclut_produits_deja_achetes
actif,0.01859922178988327,0.035298777098387996,0.029124655105946116,0.01832684824902724,0.06884519177320733,0.04307830720290918,0.022723562987668044,collaboratif_item_item,2,inclut_produits_deja_achetes
peu_actif,0.01631820499745028,0.031958508373602715,0.025531410695816166,0.016930137684854667,0.06639186356167487,0.03964826366315207,0.020288374146190856,collaboratif_item_item,2,inclut_produits_deja_achetes
actif,0.009727626459143969,0.018263387066889014,0.014560200959343463,0.010077821011673153,0.03903758260762152,0.023010274038381084,0.011319793575305897,contenu_categorie_prix,2,inclut_produits_deja_achetes
peu_actif,0.011422743498215197,0.019771253733517884,0.015819342175101843,0.011830698623151455,0.042020592020592024,0.025103920435654074,0.011643950698869835,contenu_categorie_prix,2,inclut_produits_deja_achetes
actif,0.019766536964980548,0.03857003891050584,0.028630396674700572,0.019105058365758754,0.0743922549564573,0.04325578376940055,0.02131054730582246,popularite_globale,2,sans_filtre_stock
peu_actif,0.016930137684854667,0.03328416017095263,0.025953075842046043,0.015502294747577767,0.06022457767740787,0.037232272724364184,0.019573474128730194,popularite_globale,2,sans_filtre_stock
actif,0.015642023346303505,0.02804351182755852,0.022847509017972646,0.016498054474708174,0.06251636711753443,0.03690907549431944,0.018012281771766208,popularite_recente,2,sans_filtre_stock
peu_actif,0.017338092809790925,0.03323458229118607,0.02774254346045096,0.016420193778684346,0.062481079462211535,0.03981058491470699,0.021040794597061444,popularite_recente,2,sans_filtre_stock
actif,0.01642023346303502,0.033286084861960344,0.025249627050956184,0.013891050583657588,0.05640680007411525,0.034471337543583315,0.018168361832411304,popularite_categorie,2,sans_filtre_stock
peu_actif,0.013156552779194289,0.02399832447002258,0.020197106193879495,0.01244263131055584,0.04385258206012923,0.028793399290546036,0.014797587344757154,popularite_categorie,2,sans_filtre_stock
actif,0.01859922178988327,0.035418287937743195,0.029186917318252483,0.018171206225680935,0.06913331480452102,0.04312435005352874,0.02276056583463476,collaboratif_item_item,2,sans_filtre_stock
peu_actif,0.016420193778684346,0.032213480326687874,0.025674043631348765,0.017032126466088728,0.0669018074678452,0.03990310351634274,0.020399334162811252,collaboratif_item_item,2,sans_filtre_stock
actif,0.009260700389105059,0.017439781360014825,0.013893400115117562,0.009922178988326848,0.03830754740287814,0.02241048747865765,0.010983132898641515,contenu_categorie_prix,2,sans_filtre_stock
peu_actif,0.011320754716981133,0.019079187003715303,0.01600294348993415,0.011779704232534422,0.040881717296811636,0.025262218245926827,0.011984255144632501,contenu_categorie_prix,2,sans_filtre_stock
actif,0.018362927674317887,0.03450267070882056,0.027659433890934216,0.01667388479861412,0.061329373672379305,0.038857745416055474,0.020285531745540715,popularite_globale,3,defaut_exclut_achats_stock_filtre
peu_actif,0.014804845222072678,0.027431868515314005,0.021737314642683487,0.015118887393449978,0.05779568743902526,0.034287547536088536,0.016760576669728758,popularite_globale,3,defaut_exclut_achats_stock_filtre
actif,0.015677782589865744,0.02925560436387634,0.023969103973196973,0.014638371589432656,0.05495060735424529,0.03450049572451108,0.01807479736035697,popularite_recente,3,defaut_exclut_achats_stock_filtre
peu_actif,0.014625392552714223,0.02967876547957302,0.023714625173617835,0.014759982054733063,0.05896373204583164,0.03586906139408941,0.018852416795440575,popularite_recente,3,defaut_exclut_achats_stock_filtre
